1_Lr,1_Wd,1_batchSize,1_decoder,1_featType,1_hiddenDim,1_numLayers,1_numOfHeads,2_valLossNeg,2_valMRRRandom,2_valRocAucRandom,3_testMRR2hop,3_testMRRRandom,3_testRocAuc2hop,3_testRocAucRandom
0.001,0.0005,8192,dot,2,64,2,2,-0.4025363624095917,0.9727075420510038,0.8967070966264192,0.886780003203264,0.9887767746503806,0.6309358449590304,0.8974485947663315
0.001,0.0005,8192,dot,2,128,2,2,-0.4035646617412567,0.9759956355701036,0.8928441165726249,0.8924209088839996,0.9884935386794123,0.646425820948859,0.8963286978355299
0.001,0.0005,8192,dot,2,64,3,2,-0.3960356041789055,0.9772507238508867,0.8937062091028158,0.8903158356955488,0.9919012214551248,0.6387060292178722,0.9004377784142568
0.001,0.0005,8192,dot,2,128,3,2,-0.39826691150665283,0.9752544529262085,0.8927997300805275,0.8965518549427206,0.9920339883165162,0.6452866295881969,0.9018449497257102
0.001,0.0005,8192,dot,2,64,4,2,-0.40340906381607056,0.9753599712023039,0.891409489306323,0.8972639489500881,0.991635687732342,0.6503464542754855,0.9016402808816694
0.001,0.0005,8192,dot,2,128,4,2,-0.39952728152275085,0.976616106897797,0.9010325225172016,0.8862430541665804,0.9915914321118783,0.6469915237923871,0.9024886689892928
0.0001,0.001,8192,dot,2,64,2,2,-0.542312944928805,0.9516325668416923,0.8308054163600734,0.787741607981916,0.9633784740662065,0.5788032435093227,0.8363947226782334
0.0001,0.001,8192,dot,2,128,2,2,-0.43073281093879984,0.9683975415879145,0.8750844624657136,0.8464358574687837,0.9807488050982475,0.6080877303128824,0.8823264021820019
0.0001,0.001,8192,dot,2,64,3,2,-0.4453447163105011,0.964395584509591,0.8734560679484062,0.8323004914481281,0.9797043724553018,0.6199536488294477,0.8752218086189416
0.0001,0.001,8192,dot,2,128,3,2,-0.41388559341430664,0.9724972796517954,0.8888981655382306,0.8355410624661819,0.9795716055939104,0.6286998187765065,0.8862673144166804
0.0001,0.001,8192,dot,2,64,4,2,-0.4438377618789673,0.9726248864668484,0.8786798963274488,0.8496234249022353,0.9779518498849352,0.6156949817527088,0.8900503274746101
0.0001,0.001,8192,dot,2,128,4,2,-0.396049827337265,0.9745785753126699,0.896480409917026,0.8719444330968494,0.9901486988847583,0.6298842726369229,0.8961149471442099
